2023-06-26 21:01:16

top - 21:01:16 up  5:17,  1 user,  load average: 0.30, 0.08, 0.03
Tasks: 295 total,   1 running, 294 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12.2 us, 12.2 sy,  0.0 ni, 73.2 id,  0.0 wa,  0.0 hi,  2.4 si,  0.0 st
MiB Mem :   3151.4 total,    764.5 free,    936.7 used,   1450.2 buff/cache
MiB Swap:   2140.0 total,   2140.0 free,      0.0 used.   1946.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1733 mohammd   20   0  156932   5824   5316 S   0.0   0.2   0:00.03 dconf-service
   1741 mohammd   20   0  757492  29004  25616 S   0.0   0.9   0:00.26 evolution-addre
   1749 mohammd   20   0  326408   8824   7628 S   0.0   0.3   0:00.15 gvfsd-trash
   1765 mohammd   20   0  162680   7256   6576 S   0.0   0.2   0:00.04 at-spi2-registr
   1771 mohammd   20   0 2537308  27844  23052 S   0.0   0.9   0:00.17 gjs
   1785 mohammd   20   0  327080  12660   7316 S   0.0   0.4   0:52.43 ibus-daemon
   1788 mohammd   20   0  321960   7104   6520 S   0.0   0.2   0:00.02 gsd-a11y-settin
   1790 mohammd   20   0  388820  25516  19748 S   0.0   0.8   0:00.35 gsd-color
   1797 mohammd   20   0  386988  16616  14612 S   0.0   0.5   0:00.05 gsd-datetime
   1799 mohammd   20   0  323452   7760   6992 S   0.0   0.2   0:01.34 gsd-housekeepin
   1804 mohammd   20   0  351572  21608  16856 S   0.0   0.7   0:00.22 gsd-keyboard
   1811 mohammd   20   0  654468  26524  20960 S   0.0   0.8   0:00.36 gsd-media-keys
   1817 mohammd   20   0  462060  25652  19880 S   0.0   0.8   0:00.37 gsd-power
   1822 mohammd   20   0  261388  11896  10436 S   0.0   0.4   0:00.05 gsd-print-notif
   1826 mohammd   20   0  469392   6744   6112 S   0.0   0.2   0:00.10 gsd-rfkill
   1834 mohammd   20   0  247824   6504   5984 S   0.0   0.2   0:00.02 gsd-screensaver
   1836 mohammd   20   0  248840   7676   7052 S   0.0   0.2   0:00.01 ibus-dconf
   1839 mohammd   20   0  358804  28732  17776 S   0.0   0.9   0:07.50 ibus-extension-
   1844 mohammd   20   0  477464  10924   9380 S   0.0   0.3   0:00.22 gsd-sharing
   1849 mohammd   20   0  397564   8400   7512 S   0.0   0.3   0:00.03 gsd-smartcard
   1850 mohammd   20   0  248796   7800   7164 S   0.0   0.2   0:00.11 ibus-portal
   1853 mohammd   20   0  330876   9648   8600 S   0.0   0.3   0:00.03 gsd-sound
   1857 mohammd   20   0  352160  22072  16988 S   0.0   0.7   0:00.22 gsd-wacom
   1870 mohammd   20   0  816880  66688  51804 S   0.0   2.1   0:00.54 evolution-alarm
   1889 mohammd   20   0  232264   7068   5440 S   0.0   0.2   0:00.03 gsd-disk-utilit
   1916 mohammd   20   0  353896  15396  13428 S   0.0   0.5   0:00.18 gsd-printer
   1950 mohammd   20   0  174564   6948   6352 S   0.0   0.2   0:00.04 gvfsd-metadata
   1967 mohammd   20   0  175276   8096   7024 S   0.0   0.3   0:16.57 ibus-engine-sim
   1990 mohammd   20   0 2611044  28352  23188 S   0.0   0.9   0:00.20 gjs
   1996 mohammd   20   0  355432  24992  17932 S   0.0   0.8   0:00.37 xdg-desktop-por
   2083 mohammd   20   0   47384  19128  11388 S   0.0   0.6   0:00.08 gnome-terminal
   2086 mohammd   20   0  394676  27596  20068 S   0.0   0.9   0:00.18 gnome-terminal.
   2092 mohammd   20   0  588244  65888  47176 S   0.0   2.0   2:10.84 gnome-terminal-
   2115 mohammd   20   0   22812   5852   4200 S   0.0   0.2   0:00.10 bash
   2161 mohammd   20   0  505620  31864  23840 S   0.0   1.0   0:01.04 update-notifier
